ID,poi shape,poi type,coordinate,amenity_types
6224,Polygon,university," 19.0664566, 47.488667 ",School
6225,Polygon,university," 19.0678199, 47.4884893 ",School
6226,Polygon,university," 19.0674378, 47.4876441 ",School
6227,Polygon,hospital," 19.0688216, 47.4876344 ",Healthcare
6228,Polygon,clinic," 19.0666614, 47.4897519 ",Healthcare
6229,Polygon,university," 19.0800363, 47.4821436 ",School
6230,Polygon,hospital," 19.0801072, 47.4837255 ",Healthcare
6231,Polygon,university," 19.0777242, 47.481618 ",School
6232,Polygon,hospital," 19.0782725, 47.4845425 ",Healthcare
6233,Polygon,university," 19.0641284, 47.503431 ",School
6234,Polygon,library," 19.0558065, 47.5710528 ",Education
6235,Polygon,nightclub," 19.1027917, 47.4760346 ",Entertainment
6236,Polygon,university," 19.0924949, 47.4798909 ",School
6237,LineString,parking_entrance," 18.9596092, 47.5650418 ",others
6238,LineString,bench," 18.9586001, 47.4914375 ",others
6239,LineString,bench," 18.9600937, 47.4973247 ",others
6240,LineString,bench," 18.9586222, 47.4914351 ",others
6241,LineString,bench," 18.960069, 47.4973288 ",others
6242,LineString,bench," 18.9600206, 47.4973381 ",others
6243,LineString,bench," 18.9586128, 47.4914364 ",others
6244,LineString,bench," 18.9600561, 47.4973311 ",others
6245,LineString,bench," 18.9586428, 47.4914324 ",others
6246,LineString,bench," 18.9600315, 47.4973349 ",others
6247,LineString,bench," 18.9600813, 47.4973269 ",others
6248,LineString,bench," 18.9585902, 47.4914399 ",others
6249,LineString,bench," 18.9600433, 47.497333 ",others
6250,LineString,bench," 18.9586317, 47.4914346 ",others
6251,LineString,bench," 18.9601408, 47.4970667 ",others
6252,LineString,bench," 18.9600689, 47.4972357 ",others
6253,LineString,bench," 18.960161, 47.4970777 ",others
6254,LineString,bench," 18.9600314, 47.4972398 ",others
6255,LineString,bench," 18.960084, 47.4972327 ",others
6256,LineString,bench," 18.9600969, 47.4972308 ",others
6257,LineString,bench," 18.9600566, 47.4972368 ",others
6258,LineString,bench," 18.9601828, 47.4970876 ",others
6259,LineString,bench," 18.9601296, 47.4970618 ",others
6260,LineString,bench," 18.960171, 47.4970827 ",others
6261,LineString,bench," 18.9601492, 47.4970728 ",others
6262,LineString,bench," 18.9600168, 47.4972421 ",others
6263,LineString,bench," 18.9600448, 47.4972387 ",others
6264,LineString,bench," 18.9601212, 47.4970544 ",others
6265,LineString,bench," 18.9601684, 47.4971485 ",others
6266,LineString,bench," 18.9601947, 47.4971534 ",others
6267,LineString,bench," 18.960308, 47.4971816 ",others
6268,LineString,bench," 18.9602065, 47.4971569 ",others
6269,LineString,bench," 18.9601813, 47.4971512 ",others
6270,LineString,bench," 18.960282, 47.4971755 ",others
6271,LineString,bench," 18.9602199, 47.4971599 ",others
6272,LineString,bench," 18.960268, 47.4971728 ",others
6273,LineString,bench," 18.9602311, 47.4971622 ",others
6274,LineString,bench," 18.9602568, 47.4971687 ",others
6275,LineString,bench," 18.9602932, 47.4971789 ",others
6276,LineString,bench," 18.9602445, 47.4971649 ",others
6277,LineString,bench," 18.9603061, 47.4973051 ",others
6278,LineString,bench," 18.9601786, 47.4972839 ",others
6279,LineString,bench," 18.9602795, 47.4973046 ",others
6280,LineString,bench," 18.9601901, 47.4972874 ",others
6281,LineString,bench," 18.9602401, 47.4972973 ",others
6282,LineString,bench," 18.9602658, 47.4973022 ",others
6283,LineString,bench," 18.9601648, 47.4972833 ",others
6284,LineString,bench," 18.960224, 47.4972925 ",others
6285,LineString,bench," 18.9602154, 47.4972909 ",others
6286,LineString,bench," 18.9602518, 47.4972999 ",others
6287,LineString,bench," 18.9602024, 47.4972893 ",others
6288,LineString,bench," 18.960294, 47.4973059 ",others
6289,LineString,bench," 19.0720967, 47.5007753 ",others
6290,LineString,bench," 19.0567807, 47.4788981 ",others
6291,LineString,bench," 19.0568296, 47.4788896 ",others
6292,LineString,bench," 19.0568326, 47.4788738 ",others
6293,LineString,bench," 19.0578587, 47.4856874 ",others
6294,LineString,bench," 19.0459805, 47.5433378 ",others
6295,LineString,bench," 19.0459163, 47.5429924 ",others
6296,LineString,bench," 19.0475637, 47.6172696 ",others
6297,LineString,bench," 19.0422272, 47.496264 ",others
6298,LineString,bench," 19.0708693, 47.4861262 ",others
6299,LineString,bench," 18.9995463, 47.4710713 ",others
6300,LineString,bench," 18.9994727, 47.4711558 ",others
6301,LineString,bench," 19.123113, 47.4670371 ",others
6302,LineString,bench," 19.0423244, 47.4948567 ",others
6303,LineString,bench," 19.0423145, 47.4948257 ",others
6304,LineString,bench," 19.0773282, 47.4676541 ",others
6305,LineString,bench," 19.0773814, 47.4674023 ",others
6306,LineString,nightclub," 19.0779538, 47.467719 ",Entertainment
6307,LineString,nightclub," 19.0776716, 47.467657 ",Entertainment
6308,LineString,nightclub," 19.078792, 47.4678915 ",Entertainment
6309,LineString,nightclub," 19.0783823, 47.4678988 ",Entertainment
6310,LineString,nightclub," 19.0778252, 47.4673438 ",Entertainment
6311,LineString,nightclub," 19.0776657, 47.4673699 ",Entertainment
6312,LineString,nightclub," 19.0776127, 47.4674415 ",Entertainment
6313,LineString,nightclub," 19.0776385, 47.4674074 ",Entertainment
6314,LineString,nightclub," 19.0776467, 47.467919 ",Entertainment
6315,LineString,nightclub," 19.0777322, 47.4678581 ",Entertainment
6316,LineString,nightclub," 19.0764894, 47.4679193 ",Entertainment
6317,LineString,nightclub," 19.0771596, 47.4679477 ",Entertainment
6318,LineString,university," 19.0681582, 47.4869392 ",School
6319,LineString,university," 19.0683346, 47.4890803 ",School
6320,LineString,university," 19.0666435, 47.4886543 ",School
6321,LineString,university," 19.0682632, 47.4874436 ",School
6322,LineString,university," 19.0669631, 47.4873395 ",School
6323,LineString,university," 19.0803414, 47.4837278 ",School
6324,LineString,university," 19.0827886, 47.4827468 ",School
6325,LineString,university," 19.0828388, 47.4837289 ",School
6326,LineString,university," 19.0796643, 47.4827394 ",School
6327,LineString,university," 19.0824464, 47.4827517 ",School
6328,LineString,university," 19.082172, 47.483586 ",School
6329,LineString,university," 19.0842845, 47.4854884 ",School
6330,LineString,university," 19.0824944, 47.485095 ",School
6331,LineString,university," 19.0819294, 47.4848667 ",School
6332,LineString,university," 19.0823506, 47.4846435 ",School
6333,LineString,school," 19.0168572, 47.5726386 ",School
6334,LineString,school," 19.0173818, 47.5726252 ",School
6335,LineString,school," 19.0174141, 47.5725889 ",School
6336,LineString,library," 19.0557723, 47.5708676 ",Education
6337,LineString,nightclub," 19.1027099, 47.4761854 ",Entertainment
6338,LineString,place_of_worship," 19.3981197, 47.4256583 ",Religion
6339,Point,courthouse," 19.0519431, 47.5096142 ",Government
6340,Point,bank," 19.0521913, 47.5043232 ",Financial
6341,Point,public_building," 19.0494273, 47.4978942 ",others
6342,Point,college," 19.0539871, 47.5086204 ",School
6343,Point,public_building," 19.0495709, 47.5070368 ",others
6344,Point,public_building," 19.0465492, 47.5050767 ",others
6345,Point,school," 19.0490348, 47.5005156 ",School
6346,Point,school," 19.0536084, 47.5014476 ",School
6347,Point,school," 19.0542741, 47.4966083 ",School
6348,Point,public_building," 19.0499239, 47.5001142 ",others
6349,Point,community_centre," 19.0752452, 47.5107756 ",Entertainment
6350,Point,marketplace," 19.0662266, 47.5051136 ",others
6351,Point,university," 19.0646238, 47.5033438 ",School
6352,Point,townhall," 19.0514295, 47.4980236 ",Government
6353,Point,police," 19.0695955, 47.5328511 ",Police
6354,Point,townhall," 19.0897423, 47.5621955 ",Government
6355,Point,place_of_worship," 19.1104215, 47.5824616 ",Religion
6356,Point,university," 19.0190587, 47.4917709 ",School
6357,Point,parking," 19.0557513, 47.5180867 ",Parking
6358,Point,community_centre," 19.0649897, 47.5050683 ",Entertainment
6359,Point,embassy," 19.0646634, 47.5054286 ",others
6360,Point,parking," 19.0576828, 47.5190741 ",Parking
6361,Point,parking," 19.052479, 47.5211892 ",Parking
6362,Point,parking," 19.0548273, 47.598985 ",Parking
6363,Point,bus_station," 19.0027484, 47.3316281 ",others
6364,Point,university," 19.0858128, 47.4818812 ",School
6365,Point,exhibition_center," 19.1268888, 47.4936572 ",others
6366,Point,marketplace," 19.1843913, 47.4421565 ",others
6367,Point,parking," 19.0405725, 47.4748874 ",Parking
6368,Point,public_building," 19.0458706, 47.5070934 ",others
6369,Point,public_building," 19.0467654, 47.503231 ",others
6370,Point,theatre," 19.0495471, 47.4959382 ",Entertainment
6371,Point,university," 19.0611771, 47.4850241 ",School
6372,Point,community_centre," 19.0481686, 47.5020662 ",Entertainment
6373,Point,library," 19.0463207, 47.5015666 ",Education
6374,Point,community_centre," 19.0534031, 47.5026486 ",Entertainment
6375,Point,community_centre," 19.0676628, 47.4846299 ",Entertainment
6376,Point,university," 19.0601687, 47.4741628 ",School
6377,Point,library," 19.0535643, 47.4901433 ",Education
6378,Point,community_centre," 19.0853203, 47.4898336 ",Entertainment
6379,Point,place_of_worship," 19.0805342, 47.495029 ",Religion
6380,Point,clinic," 19.0661127, 47.4885383 ",Healthcare
6381,Point,social_facility," 18.9697975, 47.526447 ",Healthcare
6382,Point,place_of_worship," 19.0384631, 47.5019193 ",Religion
6383,Point,embassy," 19.0288841, 47.5030448 ",others
6384,Point,monastery," 19.0301347, 47.4974327 ",others
6385,Point,parking," 19.0286408, 47.4951885 ",Parking
6386,Point,school," 19.0357846, 47.4961723 ",School
6387,Point,parking," 19.0390839, 47.4731849 ",Parking
6388,Point,doctors," 19.0548506, 47.5726411 ",Healthcare
6389,Point,police," 19.0961513, 47.5141332 ",Police
6390,Point,marketplace," 19.0855325, 47.5039943 ",others
6391,Point,place_of_worship," 19.0389601, 47.5037886 ",Religion
6392,Point,university," 19.0673219, 47.5071815 ",School
6393,Point,school," 19.0663329, 47.5065288 ",School
6394,Point,community_centre," 19.0703316, 47.5012102 ",Entertainment
6395,Point,restaurant," 19.0640341, 47.4967765 ",Sustenance
6396,Point,school," 19.0363245, 47.4922774 ",School
6397,Point,community_centre," 19.0567379, 47.5018464 ",Entertainment
6398,Point,police," 19.074452, 47.4755121 ",Police
6399,Point,public_building," 19.0535275, 47.504239 ",others
6400,Point,kindergarten," 19.1441177, 47.5114307 ",School
6401,Point,school," 19.1462961, 47.5052213 ",School
6402,Point,place_of_worship," 18.9257468, 47.3974078 ",Religion
6403,Point,childcare," 19.1380136, 47.5118591 ",others
6404,Point,school," 18.8850886, 47.4127473 ",School
6405,Point,place_of_worship," 18.8852723, 47.4126219 ",Religion
6406,Point,school," 18.8859281, 47.4131326 ",School
6407,Point,parking," 18.8850089, 47.4131534 ",Parking
6408,Point,parking," 19.0172169, 47.4632768 ",Parking
6409,Point,library," 19.3467694, 47.599536 ",Education
6410,Point,hospital," 18.945778, 47.5204059 ",Healthcare
6411,Point,hospital," 19.3496985, 47.5995552 ",Healthcare
6412,Point,police," 19.3504956, 47.6000376 ",Police
6413,Point,parking," 19.1575844, 47.4715358 ",Parking
6414,Point,prison," 19.1742486, 47.4719319 ",others
6415,Point,prison," 19.1767261, 47.4706722 ",others
6416,Point,kindergarten," 19.3533691, 47.6005083 ",School
6417,Point,place_of_worship," 19.3983351, 47.5975058 ",Religion
6418,Point,parking," 18.94661, 47.5220547 ",Parking
6419,Point,parking," 18.9441708, 47.521742 ",Parking
6420,Point,parking," 18.9413913, 47.5216865 ",Parking
6421,Point,parking," 18.944422, 47.519365 ",Parking
6422,Point,school," 19.1037824, 47.5599656 ",School
6423,Point,parking," 19.0461507, 47.4490058 ",Parking
6424,Point,marketplace," 19.0732479, 47.492975 ",others
6425,Point,townhall," 19.0286575, 47.504532 ",Government
6426,Point,place_of_worship," 19.0760885, 47.4788027 ",Religion
6427,Point,townhall," 19.1291917, 47.6308557 ",Government
6428,Point,university," 19.0573262, 47.477744 ",School
6429,Point,marketplace," 19.1150278, 47.5206496 ",others
6430,Point,parking," 19.3482011, 47.5981558 ",Parking
6431,Point,school," 19.1228025, 47.4717198 ",School
6432,Point,nightclub," 19.1030802, 47.4757379 ",Entertainment
6433,Point,school," 19.1134791, 47.4674642 ",School
6434,Point,parking," 19.2350662, 47.5296673 ",Parking
6435,Point,kindergarten," 19.0821683, 47.5413425 ",School
6436,Point,kindergarten," 19.0824204, 47.5411396 ",School
6437,Point,place_of_worship," 19.3983779, 47.4255689 ",Religion
6438,Point,fire_station," 18.8844116, 47.3680211 ",others
6439,Point,townhall," 18.9451529, 47.4616843 ",Government
6440,Point,townhall," 19.1017614, 47.4365573 ",Government
6441,Point,nightclub," 19.0777588, 47.4675487 ",Entertainment
6442,Point,parking," 18.9365998, 47.3924352 ",Parking
6443,Point,library," 19.0558949, 47.5707667 ",Education
6444,Point,place_of_worship," 19.022826, 47.5241324 ",Religion
6445,Point,school," 19.0173258, 47.5726605 ",School
6446,Point,kindergarten," 18.9048318, 47.3971947 ",School
6447,Point,school," 18.9053342, 47.3968129 ",School
6448,Point,parking," 19.3762852, 47.4464703 ",Parking
6449,Point,parking," 19.0313239, 47.4569057 ",Parking
6450,Point,parking," 19.0343125, 47.4566001 ",Parking
6451,Point,parking," 19.0203675, 47.4155118 ",Parking
6452,Point,parking," 18.8770347, 47.4191583 ",Parking
6453,Point,school," 18.876609, 47.4192984 ",School
6454,Point,parking," 19.018077, 47.5033237 ",Parking
6455,Point,parking," 18.8813143, 47.4132537 ",Parking
6456,Point,parking," 18.9036199, 47.4096069 ",Parking
6457,Point,kindergarten," 18.904862, 47.382654 ",School
6458,Point,school," 18.9055574, 47.3829192 ",School
6459,Point,parking," 18.9056217, 47.3822392 ",Parking
6460,Point,parking," 19.0559932, 47.5228297 ",Parking
6461,Point,school," 19.0289536, 47.4618378 ",School
6462,Point,school," 19.0111513, 47.5086501 ",School
6463,Point,bicycle_parking," 19.0585499, 47.472912 ",Transportation: Bicycle
6464,Point,college," 19.050327, 47.5069952 ",School
6465,Point,parking," 18.9293994, 47.3671343 ",Parking
6466,Point,marketplace," 18.9311707, 47.3672025 ",others
6467,Point,parking," 18.9285709, 47.3663776 ",Parking
6468,Point,marketplace," 18.9301944, 47.3653735 ",others
6469,Point,parking," 19.1507071, 47.4364829 ",Parking
6470,Point,hospital," 19.1621514, 47.4784908 ",Healthcare
6471,Point,parking," 19.1677319, 47.4786264 ",Parking
6472,Point,market," 19.1666401, 47.4779248 ",others
6473,Point,fire_station," 19.1333862, 47.4619441 ",others
6474,Point,hospital," 19.0049208, 47.509703 ",Healthcare
6475,Point,kindergarten," 19.001519, 47.5109086 ",School
6476,Point,parking," 19.0369963, 47.5311172 ",Parking
6477,Point,monastery," 19.0428858, 47.4801587 ",others
6478,Point,kindergarten," 19.2564135, 47.5396573 ",School
6479,Point,hospital," 19.2535556, 47.5391383 ",Healthcare
6480,Point,hospital," 19.0304424, 47.5392506 ",Healthcare
6481,Point,prison," 19.0373713, 47.5095842 ",others
6482,Point,school," 19.2759835, 47.4813021 ",School
6483,Point,kindergarten," 19.0632157, 47.5273409 ",School
6484,Point,kindergarten," 19.0305822, 47.4692627 ",School
6485,Point,parking," 19.3506902, 47.5986491 ",Parking
6486,Point,parking," 18.9218409, 47.3792419 ",Parking
6487,Point,parking," 18.9214507, 47.3792633 ",Parking
6488,Point,school," 19.1623235, 47.522013 ",School
6489,Point,hospital," 19.0832003, 47.6246598 ",Healthcare
6490,Point,construction," 19.1147406, 47.4863321 ",others
6491,Point,theatre," 19.3502322, 47.598064 ",Entertainment
6492,Point,university," 19.0791319, 47.4841614 ",School
6493,Point,hospital," 19.0675687, 47.4880194 ",Healthcare
6494,Point,school," 19.0297924, 47.6414152 ",School
6495,Point,parking," 19.0175001, 47.4060262 ",Parking
6496,Point,parking," 19.0409288, 47.4266226 ",Parking
6497,Point,parking," 19.038955, 47.4282608 ",Parking
6498,Point,parking," 18.946421, 47.4040306 ",Parking
6499,Point,parking," 18.9252231, 47.3798175 ",Parking
6500,Point,parking," 18.8929728, 47.4594795 ",Parking
6501,Point,parking," 18.8999364, 47.4570845 ",Parking
6502,Point,parking," 18.9350341, 47.3783002 ",Parking
6503,Point,theatre," 19.0582513, 47.5028416 ",Entertainment
6504,Point,parking," 19.0465825, 47.5007711 ",Parking
6505,Point,public_building," 19.0491959, 47.5036879 ",others
6506,Point,bank," 19.0520314, 47.5036057 ",Financial
6507,Point,doctors," 19.0525638, 47.5018158 ",Healthcare
6508,Point,community_centre," 19.0491245, 47.5000122 ",Entertainment
6509,Point,bank," 19.0542648, 47.5050536 ",Financial
6510,Point,theatre," 19.0514682, 47.5126205 ",Entertainment
6511,Point,parking," 19.0492962, 47.5110935 ",Parking
6512,Point,school," 19.0531938, 47.5094623 ",School
6513,Point,prison," 19.0528393, 47.5083559 ",others
6514,Point,courthouse," 19.051661, 47.5087087 ",Government
6515,Point,public_building," 19.050189, 47.5091886 ",others
6516,Point,public_building," 19.0507391, 47.5090641 ",others
6517,Point,public_building," 19.0498612, 47.5079122 ",others
6518,Point,public_building," 19.0492041, 47.5070057 ",others
6519,Point,public_building," 19.0494318, 47.5067565 ",others
6520,Point,embassy," 19.0516822, 47.5042745 ",others
6521,Point,marketplace," 19.0531417, 47.5048666 ",others
6522,Point,parking," 19.0283552, 47.5459721 ",Parking
6523,Point,parking," 19.0284212, 47.5467889 ",Parking
6524,Point,parking," 19.0399698, 47.5425278 ",Parking
6525,Point,marketplace," 19.0382842, 47.543707 ",others
6526,Point,townhall," 19.0552626, 47.4957009 ",Government
6527,Point,parking," 19.0555434, 47.4961376 ",Parking
6528,Point,townhall," 19.0569686, 47.4945952 ",Government
6529,Point,place_of_worship," 19.0523117, 47.4922157 ",Religion
6530,Point,place_of_worship," 19.0547353, 47.4971568 ",Religion
6531,Point,marketplace," 19.0588786, 47.4865909 ",others
6532,Point,place_of_worship," 19.0564677, 47.4931962 ",Religion
6533,Point,library," 19.0571193, 47.4925433 ",Education
6534,Point,public_building," 19.0528799, 47.5041961 ",others
6535,Point,public_building," 19.053114, 47.5035791 ",others
6536,Point,public_building," 19.0466103, 47.5036353 ",others
6537,Point,public_building," 19.0470102, 47.5036963 ",others
6538,Point,public_building," 19.0477109, 47.5037628 ",others
6539,Point,public_building," 19.0520273, 47.5018527 ",others
6540,Point,parking," 18.9180896, 47.5007939 ",Parking
6541,Point,place_of_worship," 19.0580426, 47.4907252 ",Religion
6542,Point,parking," 19.0229584, 47.4633216 ",Parking
6543,Point,parking," 18.9923726, 47.4723556 ",Parking
6544,Point,parking," 19.0494564, 47.5581413 ",Parking
6545,Point,public_building," 19.0504558, 47.5077162 ",others
6546,Point,place_of_worship," 19.0536322, 47.4952607 ",Religion
6547,Point,university," 19.0582567, 47.4861677 ",School
6548,Point,university," 19.0570665, 47.4904008 ",School
6549,Point,school," 19.0571903, 47.4942599 ",School
6550,Point,place_of_worship," 19.0544863, 47.4904239 ",Religion
6551,Point,parking," 19.0523352, 47.4903996 ",Parking
6552,Point,parking," 19.0568561, 47.5111248 ",Parking
6553,Point,place_of_worship," 19.0606108, 47.5168433 ",Religion
6554,Point,place_of_worship," 19.0627318, 47.5022312 ",Religion
6555,Point,place_of_worship," 19.0827325, 47.5156623 ",Religion
6556,Point,theatre," 19.0810002, 47.5194565 ",Entertainment
6557,Point,restaurant," 19.0771048, 47.5174338 ",Sustenance
6558,Point,restaurant," 19.0764522, 47.5172091 ",Sustenance
6559,Point,bus_station," 19.1072194, 47.5014098 ",others
6560,Point,parking," 19.0846037, 47.5014404 ",Parking
6561,Point,hospital," 19.0790433, 47.5024102 ",Healthcare
6562,Point,place_of_worship," 19.0762367, 47.5011417 ",Religion
6563,Point,university," 19.0646238, 47.5033438 ",School
6564,Point,university," 19.0708126, 47.5134707 ",School
6565,Point,public_building," 19.0537172, 47.5083642 ",others
6566,Point,public_building," 19.0526219, 47.5054308 ",others
6567,Point,public_building," 19.0530536, 47.5054504 ",others
6568,Point,public_building," 19.0532086, 47.5046697 ",others
6569,Point,restaurant," 19.0469796, 47.4969045 ",Sustenance
6570,Point,restaurant," 19.0474554, 47.4958029 ",Sustenance
6571,Point,hospital," 19.0729973, 47.5165545 ",Healthcare
6572,Point,doctors," 19.0711535, 47.516183 ",Healthcare
6573,Point,embassy," 19.0721377, 47.5117927 ",others
6574,Point,school," 19.073029, 47.5080818 ",School
6575,Point,school," 19.0732997, 47.5082958 ",School
6576,Point,theatre," 19.0728359, 47.5032936 ",Entertainment
6577,Point,place_of_worship," 19.0758657, 47.5085948 ",Religion
6578,Point,school," 19.0764233, 47.5085692 ",School
6579,Point,parking," 19.1058999, 47.5007218 ",Parking
6580,Point,public_building," 19.0299982, 47.5049133 ",others
6581,Point,pharmacy," 18.9939561, 47.4737027 ",Healthcare
6582,Point,place_of_worship," 19.1319647, 47.4871232 ",Religion
6583,Point,fast_food," 19.0320896, 47.4640745 ",Sustenance
6584,Point,bank," 19.030854, 47.4641993 ",Financial
6585,Point,parking," 19.0441911, 47.4919885 ",Parking
6586,Point,place_of_worship," 19.0438828, 47.4922445 ",Religion
6587,Point,cinema," 19.0714233, 47.4861903 ",Entertainment
6588,Point,parking," 19.0761483, 47.4975601 ",Parking
6589,Point,theatre," 19.0768547, 47.4967804 ",Entertainment
6590,Point,parking," 19.0488782, 47.5600482 ",Parking
6591,Point,parking," 19.0508996, 47.5604982 ",Parking
6592,Point,parking," 19.0039961, 47.4669634 ",Parking
6593,Point,swimming_pool," 19.1190689, 47.5406145 ",others
6594,Point,parking," 18.9545521, 47.5279334 ",Parking
6595,Point,marketplace," 19.1450755, 47.4586009 ",others
6596,Point,hospital," 19.1002806, 47.4666071 ",Healthcare
6597,Point,school," 19.1461759, 47.4602941 ",School
6598,Point,school," 19.1457912, 47.459951 ",School
6599,Point,school," 19.1442602, 47.4604695 ",School
6600,Point,police," 19.1368857, 47.4563339 ",Police
6601,Point,prison," 19.1747481, 47.4694652 ",others
6602,Point,parking," 19.0216139, 47.5622029 ",Parking
6603,Point,community_centre," 19.0315371, 47.4641762 ",Entertainment
6604,Point,parking," 19.0318941, 47.4641156 ",Parking
6605,Point,public_building," 19.0310931, 47.4647268 ",others
6606,Point,parking," 19.0303886, 47.464365 ",Parking
6607,Point,parking," 19.030492, 47.4651718 ",Parking
6608,Point,parking," 18.9665355, 47.5379085 ",Parking
6609,Point,parking," 19.2645188, 47.4306922 ",Parking
6610,Point,parking," 18.9550155, 47.5401857 ",Parking
6611,Point,school," 18.9480669, 47.5643764 ",School
6612,Point,school," 18.9587855, 47.5610896 ",School
6613,Point,community_centre," 19.0002738, 47.4681233 ",Entertainment
6614,Point,school," 19.0013166, 47.4696818 ",School
6615,Point,kindergarten," 19.0005555, 47.4685402 ",School
6616,Point,kindergarten," 19.0008228, 47.4689183 ",School
6617,Point,parking," 19.0166501, 47.4675517 ",Parking
6618,Point,kindergarten," 19.0176468, 47.4723148 ",School
6619,Point,university," 19.0186063, 47.4711525 ",School
6620,Point,parking," 19.0061251, 47.464601 ",Parking
6621,Point,fuel," 19.2143364, 47.517563 ",Fuel Station
6622,Point,restaurant," 19.2278621, 47.5251092 ",Sustenance
6623,Point,fuel," 19.2358335, 47.529812 ",Fuel Station
6624,Point,parking," 19.0210539, 47.4723106 ",Parking
6625,Point,parking," 19.0206051, 47.4719545 ",Parking
6626,Point,bank," 19.1157871, 47.5622872 ",Financial
6627,Point,townhall," 19.1165194, 47.5626093 ",Government
6628,Point,school," 19.0024274, 47.4708078 ",School
6629,Point,college," 19.0029895, 47.4709083 ",School
6630,Point,school," 19.0067672, 47.4699053 ",School
6631,Point,retirement_home," 18.9475028, 47.5608544 ",others
6632,Point,kindergarten," 18.9533935, 47.5496776 ",School
6633,Point,school," 18.9604891, 47.5536453 ",School
6634,Point,parking," 18.9388347, 47.547146 ",Parking
6635,Point,school," 18.9366281, 47.5516013 ",School
6636,Point,retirement_home," 18.9447141, 47.5606255 ",others
6637,Point,school," 18.9540947, 47.5474844 ",School
6638,Point,hospital," 18.963759, 47.5475212 ",Healthcare
6639,Point,parking," 18.9637584, 47.5430371 ",Parking
6640,Point,university," 19.0216791, 47.4742514 ",School
6641,Point,kindergarten," 19.0179197, 47.4724791 ",School
6642,Point,parking," 19.040743, 47.476806 ",Parking
6643,Point,pub," 19.040273, 47.4772858 ",Sustenance
6644,Point,parking," 19.0626285, 47.4727191 ",Parking
6645,Point,place_of_worship," 19.0589957, 47.4747471 ",Religion
6646,Point,marketplace," 19.0474185, 47.4746473 ",others
6647,Point,school," 19.0479074, 47.4760992 ",School
6648,Point,clinic," 19.0472246, 47.475481 ",Healthcare
6649,Point,school," 19.0551579, 47.4765853 ",School
6650,Point,clinic," 19.0307083, 47.479683 ",Healthcare
6651,Point,police," 19.0290845, 47.4778496 ",Police
6652,Point,kindergarten," 19.0294115, 47.4767597 ",School
6653,Point,place_of_worship," 19.0228716, 47.4687024 ",Religion
6654,Point,place_of_worship," 19.0442503, 47.470789 ",Religion
6655,Point,parking," 19.0455994, 47.4706724 ",Parking
6656,Point,university," 19.0796234, 47.487176 ",School
6657,Point,school," 19.0816258, 47.487699 ",School
6658,Point,restaurant," 19.0600334, 47.4613246 ",Sustenance
6659,Point,cafe," 19.0602074, 47.4616101 ",Sustenance
6660,Point,childcare," 19.060944, 47.462493 ",others
6661,Point,cafe," 19.0621066, 47.4639491 ",Sustenance
6662,Point,restaurant," 19.0627783, 47.4647759 ",Sustenance
6663,Point,parking," 19.062686, 47.4676424 ",Parking
6664,Point,parking," 19.0160228, 47.4605206 ",Parking
6665,Point,kindergarten," 18.9965733, 47.4712376 ",School
6666,Point,school," 19.034881, 47.4538517 ",School
6667,Point,school," 19.0350257, 47.4545796 ",School
6668,Point,school," 19.0341162, 47.452742 ",School
6669,Point,school," 19.035459, 47.4620372 ",School
6670,Point,kindergarten," 19.0343853, 47.4621784 ",School
6671,Point,school," 19.0372256, 47.4616371 ",School
6672,Point,school," 19.0349707, 47.4503548 ",School
6673,Point,school," 19.0350916, 47.4490227 ",School
6674,Point,place_of_worship," 19.0353802, 47.4479025 ",Religion
6675,Point,place_of_worship," 18.9957012, 47.4687976 ",Religion
6676,Point,parking," 18.9995901, 47.4672886 ",Parking
6677,Point,parking," 18.9975422, 47.4683986 ",Parking
6678,Point,parking," 18.9955926, 47.4695649 ",Parking
6679,Point,parking," 18.9934922, 47.4738483 ",Parking
6680,Point,school," 19.0039824, 47.4805252 ",School
6681,Point,kindergarten," 19.0031737, 47.4807078 ",School
6682,Point,school," 18.9273199, 47.5130511 ",School
6683,Point,place_of_worship," 18.9283723, 47.5097668 ",Religion
6684,Point,fuel," 19.1084734, 47.4961599 ",Fuel Station
6685,Point,parking," 19.0698986, 47.4964013 ",Parking
6686,Point,arts_centre," 19.071642, 47.4695874 ",Arts
6687,Point,fast_food," 19.0918969, 47.5171687 ",Sustenance
6688,Point,fuel," 19.0915303, 47.5173619 ",Fuel Station
6689,Point,parking," 19.0381935, 47.4311037 ",Parking
6690,Point,townhall," 19.0405826, 47.4262093 ",Government
6691,Point,parking," 19.0370487, 47.52171 ",Parking
6692,Point,hospital," 19.0376194, 47.515996 ",Healthcare
6693,Point,hospital," 19.0369268, 47.5188811 ",Healthcare
6694,Point,place_of_worship," 19.030946, 47.5045205 ",Religion
6695,Point,place_of_worship," 19.034295, 47.5020222 ",Religion
6696,Point,parking," 19.0010524, 47.4466178 ",Parking
6697,Point,parking," 18.9997704, 47.4460534 ",Parking
6698,Point,parking," 19.0870271, 47.4801356 ",Parking
6699,Point,marketplace," 19.1390169, 47.5454938 ",others
6700,Point,marketplace," 19.2141542, 47.3881026 ",others
6701,Point,marketplace," 19.213371, 47.3728953 ",others
6702,Point,parking," 19.2068234, 47.3881363 ",Parking
6703,Point,pharmacy," 19.0338974, 47.5444042 ",Healthcare
6704,Point,parking," 19.038215, 47.5420649 ",Parking
